iter	Logloss
0	0.4870344172
1	0.4217179233
2	0.3949888203
3	0.3809487974
4	0.3751311864
5	0.373808351
6	0.3713749318
7	0.3700523208
8	0.3685336855
9	0.3677593333
10	0.3667447446
11	0.3662699547
12	0.3651557306
13	0.3623768851
14	0.3614491172
15	0.3614349786
16	0.3605384556
17	0.3603233943
18	0.3602218574
19	0.3593737158
20	0.3590991735
21	0.3587326083
22	0.3582922946
23	0.3579530073
24	0.3577261787
25	0.3573040585
26	0.3565929692
27	0.3563750229
28	0.3562819277
29	0.3555560091
30	0.3548698085
31	0.3543778872
32	0.3542151426
33	0.3534038846
34	0.3523213147
35	0.3522522785
36	0.3520601833
37	0.3520050801
38	0.350897904
39	0.3502045559
40	0.350080206
41	0.3498170749
42	0.3497959248
