,enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,23798,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,1,106,0
1,29166,city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Funded Startup,1,69,0
2,46,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Public Sector,2,4,0
3,18527,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,26,0
4,21751,city_100,0.887,Male,No relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,2,88,1
5,13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,6~10 years,1000 +,Pvt Ltd,2,34,0
6,11746,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,3,23,1
7,24127,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,>4,8,0
8,7615,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,10,0
9,9676,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,85,0
10,32957,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,2,106,0
11,13091,city_160,0.92,Male,No relevent experience,Part time course,Graduate,Other,6~10 years,1000 +,Public Sector,3,55,0
12,681,city_65,0.802,Male,Has relevent experience,Part time course,Graduate,No Major,6~10 years,1000 +,Pvt Ltd,1,13,0
13,33356,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,>4,51,0
14,20247,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,4,0
15,19752,city_75,0.9390000000000001,Male,Has relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,28,0
16,28429,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,1,35,0
17,16508,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,0~5 years,less than 100,Early Stage Startup,never,42,0
18,13977,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,45,0
19,2776,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,Business Degree,> 20 years,less than 100,Pvt Ltd,4,11,0
20,16443,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,106,0
21,16067,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,2,51,0
22,20897,city_136,0.897,Male,Has relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,1,12,0
23,25178,city_28,0.9390000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,never,11,0
