enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,permutation
23798,city_149,0.6890000000000001,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,less than 1000,Pvt Ltd,1,106,0,53
29166,city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Funded Startup,1,69,0,34
46,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Public Sector,2,4,0,12
18527,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,1,26,0,154
21751,city_100,0.887,Male,No relevent experience,no_enrollment,Masters,STEM,6~10 years,less than 100,Pvt Ltd,2,88,1,62
13342,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,Other,6~10 years,1000 +,Pvt Ltd,2,34,0,141
11746,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,3,23,1,94
24127,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,> 20 years,less than 100,Pvt Ltd,>4,8,0,147
7615,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,10,0,31
9676,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,1000 +,Pvt Ltd,>4,85,0,116
32957,city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,2,106,0,21
13091,city_160,0.92,Male,No relevent experience,Part time course,Graduate,Other,6~10 years,1000 +,Public Sector,3,55,0,282
681,city_65,0.802,Male,Has relevent experience,Part time course,Graduate,No Major,6~10 years,1000 +,Pvt Ltd,1,13,0,110
33356,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 1000,Pvt Ltd,>4,51,0,46
20247,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,4,0,35
19752,city_75,0.9390000000000001,Male,Has relevent experience,Full time course,High School,STEM,6~10 years,less than 100,Pvt Ltd,1,28,0,25
28429,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,> 20 years,less than 100,Pvt Ltd,1,35,0,39
16508,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,0~5 years,less than 100,Early Stage Startup,never,42,0,74
13977,city_159,0.843,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 1000,Pvt Ltd,>4,45,0,30
2776,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,Business Degree,> 20 years,less than 100,Pvt Ltd,4,11,0,40
16443,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,1,106,0,139
16067,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,6~10 years,less than 100,Pvt Ltd,2,51,0,13
20897,city_136,0.897,Male,Has relevent experience,no_enrollment,High School,STEM,0~5 years,less than 100,Pvt Ltd,1,12,0,40
25178,city_28,0.9390000000000001,Male,No relevent experience,no_enrollment,Graduate,STEM,0~5 years,1000 +,Pvt Ltd,never,11,0,6
3472,city_16,0.91,Male,Has relevent experience,no_enrollment,High School,STEM,> 20 years,less than 1000,Pvt Ltd,>4,54,1,46
30466,city_10,0.895,Male,No relevent experience,Full time course,High School,STEM,0~5 years,less than 100,Pvt Ltd,1,89,0,40
18230,city_73,0.754,Male,No relevent experience,no_enrollment,Phd,STEM,11~20 years,less than 100,Pvt Ltd,1,41,0,140
5634,city_76,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,11~20 years,less than 100,Pvt Ltd,2,298,0,79
11753,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,0~5 years,less than 100,Pvt Ltd,never,101,0,22
20881,city_28,0.9390000000000001,Male,Has relevent experience,no_enrollment,Masters,STEM,6~10 years,1000 +,Pvt Ltd,1,114,0,5
23129,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6~10 years,1000 +,Pvt Ltd,1,104,0,42
