city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_149,0.6890000000000001,1,1,0,1,1,1,2,4,1,106,0
city_83,0.9229999999999999,1,1,0,1,1,3,1,2,1,69,0
city_16,0.91,1,1,0,1,1,2,1,1,1,4,0
city_64,0.6659999999999999,1,1,0,1,1,3,1,4,1,26,0
city_100,0.887,1,0,0,1,1,2,1,4,1,88,1
city_21,0.624,2,1,0,1,0,2,3,4,1,34,0
city_21,0.624,1,1,0,1,1,2,3,4,1,23,1
city_114,0.9259999999999999,1,1,0,1,1,4,1,4,2,8,0
city_103,0.92,1,1,0,1,1,4,3,4,2,10,0
city_97,0.925,1,1,0,1,1,4,3,4,2,85,0
city_103,0.92,1,0,1,1,1,1,3,4,1,106,0
city_160,0.92,1,0,1,1,0,2,3,1,1,55,0
city_65,0.802,1,1,1,1,0,2,3,4,1,13,0
city_90,0.698,1,1,0,1,1,4,2,4,2,51,0
city_103,0.92,1,1,0,1,1,1,3,4,1,4,0
city_75,0.9390000000000001,1,1,1,0,1,2,1,4,1,28,0
city_160,0.92,1,1,0,1,1,4,1,4,1,35,0
city_136,0.897,1,1,0,1,1,1,1,3,0,42,0
city_159,0.843,1,1,0,1,1,3,2,4,2,45,0
city_114,0.9259999999999999,1,1,0,1,0,4,1,4,1,11,0
city_21,0.624,1,1,1,1,1,1,3,4,1,106,0
city_67,0.855,1,1,0,1,1,2,1,4,1,51,0
city_136,0.897,1,1,0,0,1,1,1,4,1,12,0
city_28,0.9390000000000001,1,0,0,1,1,1,3,4,0,11,0
city_16,0.91,1,1,0,0,1,4,2,4,2,54,1
city_10,0.895,1,0,1,0,1,1,1,4,1,89,0
city_73,0.754,1,0,0,1,1,3,1,4,1,41,0
Other,0.698,1,1,0,1,1,3,1,4,1,298,0
city_103,0.92,1,1,0,1,0,1,1,4,0,101,0
city_28,0.9390000000000001,1,1,0,1,1,2,3,4,1,114,0
city_103,0.92,1,0,0,1,1,2,3,4,1,104,0
city_103,0.92,1,1,0,1,1,4,1,3,1,53,0
city_104,0.924,1,1,0,1,1,3,2,4,2,39,0
city_103,0.92,1,1,1,1,1,3,1,4,1,55,0
city_16,0.91,1,1,0,1,1,4,1,3,1,23,0
city_90,0.698,1,1,0,1,1,3,1,4,1,20,0
city_73,0.754,2,1,0,1,1,2,3,3,2,109,0
city_103,0.92,1,1,0,1,1,1,3,4,2,3,0
city_149,0.6890000000000001,1,1,0,1,1,1,1,4,1,68,1
city_160,0.92,1,1,0,1,1,2,2,4,1,262,0
city_75,0.9390000000000001,1,1,0,1,1,2,1,4,1,16,1
city_114,0.9259999999999999,1,0,0,0,1,2,1,4,0,22,0
Other,0.848,1,1,1,0,1,2,1,4,1,67,0
city_160,0.92,1,0,0,1,0,1,1,3,1,43,0
city_75,0.9390000000000001,1,1,0,1,1,4,1,4,2,35,0
Other,0.698,1,1,0,1,1,2,2,1,1,7,0
city_28,0.9390000000000001,1,0,1,0,1,1,1,1,1,30,0
city_61,0.9129999999999999,1,0,0,1,1,4,3,4,1,9,0
city_103,0.92,2,1,0,1,1,2,2,4,1,112,0
city_99,0.915,1,1,0,1,1,4,2,3,1,20,0
city_104,0.924,1,1,0,1,1,2,2,3,1,7,0
city_21,0.624,1,0,1,1,1,3,1,3,1,21,1
city_73,0.754,1,1,1,1,1,1,3,1,1,166,0
city_103,0.92,1,1,0,1,1,4,1,4,2,110,0
city_103,0.92,2,1,0,1,1,1,1,3,1,18,0
city_103,0.92,1,1,1,1,1,4,2,4,2,79,1
city_21,0.624,1,0,1,0,1,1,1,4,0,11,0
city_21,0.624,1,1,0,1,1,3,1,4,1,98,1
city_75,0.9390000000000001,1,1,0,1,1,4,1,4,2,65,0
city_100,0.887,1,1,1,1,1,3,1,4,1,61,0
city_16,0.91,2,0,1,1,1,1,1,4,0,34,1
city_16,0.91,1,0,1,1,0,4,1,3,2,44,0
city_159,0.843,1,1,0,1,1,1,2,2,1,170,0
city_114,0.9259999999999999,1,1,0,1,1,3,1,4,2,68,0
city_103,0.92,1,0,1,1,1,1,1,4,0,132,1
city_103,0.92,1,1,0,1,0,4,3,4,1,8,1
city_41,0.8270000000000001,1,1,0,1,1,2,1,1,1,23,0
city_90,0.698,1,0,1,1,1,1,2,4,1,145,0
Other,0.727,1,1,1,1,1,1,3,4,1,48,0
city_16,0.91,1,1,0,1,1,3,2,4,1,46,0
city_103,0.92,1,1,0,1,1,4,2,4,1,37,0
city_103,0.92,1,1,0,1,1,2,3,4,1,86,0
city_73,0.754,1,1,0,1,1,4,2,4,1,96,0
city_103,0.92,1,1,0,1,1,3,3,4,2,22,0
city_160,0.92,1,1,0,1,0,4,1,4,2,33,1
city_103,0.92,1,1,0,1,1,2,3,4,1,152,0
city_64,0.6659999999999999,1,1,0,1,1,3,1,4,1,46,0
city_97,0.925,1,1,0,0,1,2,1,4,2,28,0
city_114,0.9259999999999999,1,1,0,1,1,3,1,4,1,168,0
city_61,0.9129999999999999,1,1,0,1,1,4,1,1,2,37,0
city_67,0.855,1,0,0,1,1,4,1,4,2,13,0
city_160,0.92,2,1,0,1,1,2,1,4,1,101,1
Other,0.743,1,1,1,1,1,3,1,2,1,128,0
city_149,0.6890000000000001,1,0,1,1,1,1,1,4,1,23,1
city_116,0.743,1,0,1,1,1,1,2,4,0,102,0
city_103,0.92,1,1,0,1,1,4,3,4,1,6,0
city_128,0.527,1,1,0,1,0,2,1,4,1,50,0
city_104,0.924,1,1,0,0,1,1,1,4,1,36,0
